author,channel,cid,heart,photo,text,time,votes
Nicolas Navarro,UCqsT3U0_Czim45sh9CDvv7Q,UgztxoiXDm5alGywMXN4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu8TgXVJp1KNIFniqFXVCMsOpZyJ6oYlZ-hTio8g8v3DljVsq7vGqLAtYTZGHApU=s176-c-k-c0x00ffffff-no-rj,"0:00 Ese Marcos Lopez, jugando y divirtiéndose y disfrutando del fútbol neerdanles",1 month ago,19
corryzianna,UCiDiISd7Zq9xzZfoUNVDqwQ,Ugxo4Itb819rmHdmyP54AaABAg,0.0,https://yt3.ggpht.com/Zxf1g4qeuZanU7Ea6DcbiHs6UjVUDqpNhCzj40pKriFMoLqJGIsFc3UEcsUXGSEHjzM6kiSYUS0=s176-c-k-c0x00ffffff-no-rj,le mec qui galère en enfiler une chasuble m'a tuer,3 weeks ago,1
CyraxVIII,UCWP_w1lB9VwjPLepk8k0pAg,UgzHJB5XDek-TbBBtH94AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu9WvDgMIKzOjjncgtg2DCyC7S2tF3nPaWIq4HL0=s176-c-k-c0x00ffffff-no-rj,0:03 Pongracic best friend from Maguire 😂😂😂,1 month ago,4
L Lawliet,UCmQs0Z_yZABsap5-axzCKkw,UgwYmKyXg4H1wh24BCh4AaABAg,0.0,https://yt3.ggpht.com/rfEsGs0YLlQJJpgEpoN2bLDO8xPPet8V9rWhP9RCz-9-DGY7FMairQrkpjyhFJ6BKSODLWKN=s176-c-k-c0x00ffffff-no-rj,Haaland walked away like nothing happened or else some players would dive for that too. Kudos to Thiago for not getting injured after kicking iron balls,1 month ago (edited),0
jayngo26,UCWLOfkvmuOEQf9w0u9y5R8A,UgwBcoiDX5Bvn8CKyIx4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu9UdkBX2UNO_BvdWOWHti3UhuzECuQpSyfpvu5x=s176-c-k-c0x00ffffff-no-rj,Edwards ran through almost the whole defense!,8 hours ago,32
Joe B.,UCJNuYdADHNER6kwURhCskYw,UgytQLouws_e3zCIFld4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu_-NoJgR8MDvAS3-HKspwCV1zDYmtL-xWiGWTSS=s176-c-k-c0x00ffffff-no-rj,"Being a Michigan fan, I first want to congratulate Purdue on a helluva fight! You guys play with heart and are tough! Next I want to send my love to my team baby, GO BLUE!!!! baby!!! You guys control your destiny, go get that NATTY!!! 💛💙🙂",8 hours ago,36
Janet Partyka,UCZDpvHa4YdxIOFNtPA3AzhA,Ugxv5uyXlnNUASzFPHZ4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu9nmWHQ4W8tVBLL45uY68ApNPXtD3G3-Lb0cQ=s176-c-k-c0x00ffffff-no-rj,"Congrats. to Purdue, it was a hard fought game. Prayers for O'Connell and his family. From, The Michigan Family",8 hours ago,19
Negele Farrah,UCeY4z3MvnbgA4alCqOgsR_w,UgyUSQZD5-QU-XqlC_V4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu8FkSYu11rXOyY6ZgNxVR3ctBhCbtIwbg6-xpOWq_ureoKyQUHx1oel2SsAzpl2=s176-c-k-c0x00ffffff-no-rj,"For the first time in program history, Michigan has won 13 games in a season.
Now there are just 2 goals left in this season.
1-win No 14 in the CFP  semi-final against whoever.
2-reach the national title game, hope it's a rematch with Georgia, get that win and cement yourself as the greatest Michigan team ever and the only team in Big 10 history to go 15-0 in a season.",8 hours ago,31
Colonel Stinkfinger,UCBtzaZU5fzUKSLQhjjNeaAA,UgwvTHWEdO5x2dIJ1R94AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu9n-0yAVesMHVnREpDo8WYcxW-Qxh1aS-Dbpdrv=s176-c-k-c0x00ffffff-no-rj,The Edwards run was so awesome they had to show it twice,6 hours ago,7
Paul Dendinger,UCniIhTfGVbe3bxdqSXJvOZQ,Ugy7_dqXdgFCuWugUqB4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-MIsULOBXvBaJ-h1Y1Mrg-RNPKSmGBHoVvzw=s176-c-k-c0x00ffffff-no-rj,Congratulations to Big Blue! B2B and 13-0!,8 hours ago,15
Scott K,UCpGKgr7JggeLOPI3c2y0yCg,UgyuCyMvwT_0oqNCN1F4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-BQn0eAvWy0yK6QrvJSzlQyqB8Z3h3hvWL=s176-c-k-c0x00ffffff-no-rj,Hail to the victors. Back to back Big 10 champs.,8 hours ago,6
Dutch Oven der Linde,UCJ6hzOTATjGg14lrDELiqOg,Ugw0_-JPEb08yGaW2WN4AaABAg,0.0,https://yt3.ggpht.com/yiCjCIXzyUWl60vqTbygufeqjD3whYk_JVnpu2-Gh__TRXikIVPx-ZuVX-YajeIP7ASqmQ-5BYA=s176-c-k-c0x00ffffff-no-rj,IT’S GREAT…TO BE…A MICHIGAN WOLVERINE!!!,8 hours ago,14
JDawg 17,UCcjG4soLCwhZyqCvT2YfvVQ,Ugy7IoqAlktjIijEZMd4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu_5j1dSnXd7Km-eYsPz3gtLQlTXx3ZTUZ-9n4Q1eQ=s176-c-k-c0x00ffffff-no-rj,Hard to believe that this is Michigan’s first ever season with 13 wins.,8 hours ago,28
*****,UCMSS9kP0kJckQ9MNn5PtoSA,Ugxrl46OzJmfFxSBrQF4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu8FFhy9pv10gg7CggtteeZU-nErs1IiYONtK1Zkqg=s176-c-k-c0x00ffffff-no-rj,Ann Arbor and The Michigan Wolverines are ready to win The National Championship!!,8 hours ago,19
